trial,optimiser_name,learning_rate,weight_decay,conv1_filters,residual_connections,block_repetitions,block_1_filters,block_2_filters,block_3_filters,final_conv_filters,dropout,val_accuracy,block_4_filters,momentum
final_run,AdamW,0.00014280500000000003,0.1,32,False,3,128,256,384,576,0.25,0.9886363744735718,,
final_run,AdamW,0.0003137425850000001,0.01,40,False,3,128,128,384,768,0.25,0.9869652390480042,,
final_run,AdamW,0.00024134045000000006,0.001,96,True,3,256,448,384,768,0.25,0.9859625697135925,,
final_run,Adam,0.00018564650000000004,,96,True,4,128,448,192,896,0.1,0.9836229681968689,512,
final_run,SGD,0.0019686881928496457,,8,True,4,128,448,320,512,0.1,0.9829545617103577,448,0.8
final_run,Adam,0.00014280500000000003,,56,True,2,192,256,,704,0.25,0.9809492230415344,,
final_run,Adam,0.00024134045000000006,,112,True,2,256,320,,704,0.25,0.9792780876159668,,
final_run,Adam,0.00024134045000000006,,16,False,2,192,512,,640,0.15000000000000002,0.9786096215248108,,
final_run,Adam,0.00014280500000000003,,64,True,2,192,256,,704,0.25,0.9782754182815552,,
final_run,Adam,0.00024134045000000006,,56,True,2,128,128,,576,0.25,0.9769384860992432,,
final_run,Adam,0.00014280500000000003,,56,True,2,192,256,,704,0.25,0.9762700796127319,,
final_run,Adam,0.00014280500000000003,,56,True,2,192,256,,704,0.25,0.9752673506736755,,
final_run,Adam,0.00014280500000000003,,56,True,2,192,256,,704,0.25,0.9739304780960083,,
final_run,AdamW,0.00010985000000000001,1e-05,104,True,2,256,320,,512,0.2,0.9732620120048523,,
final_run,Adam,0.00010985000000000001,,56,True,2,192,256,,704,0.25,0.9732620120048523,,
final_run,AdamW,0.00010985000000000001,0.0001,24,True,2,256,192,,768,0.25,0.9725936055183411,,
final_run,Adam,0.00014280500000000003,,56,True,2,192,256,,704,0.25,0.9719251394271851,,
final_run,Adam,0.00010985000000000001,,56,True,2,192,256,,768,0.25,0.9692513346672058,,
final_run,SGD,0.0015143755329612657,,8,False,2,64,192,,576,0.2,0.9679144620895386,,0.93
final_run,AdamW,0.0003137425850000001,0.01,104,True,2,64,448,,512,0.0,0.9665775299072266,,
